Country,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
Bangladesh,2018,163683950,2935657.0,14634727,46111200,78434450,108985070,117572296,107403940,2922360.0,11699070.0,14995933,16480542,16777320,29981008,24970932,19117000,13211105,8360486,3867977,1182914,103555,456.0
Barbados,2018,279702,3023.0,15230,49960,86872,190148,229728,218364,3025.0,12207.0,16644,18086,18960,37010,37342,39013,40014,31633,17654,7212,890,14.0
Belarus,2018,9695573,97647.0,561362,1626810,2572945,6533884,8068074,7782841,107695.0,463715.0,566658,498790,472446,1131478,1555525,1327828,1362833,1217767,604019,345249,50929,689.0
Belgium,2018,11448598,119047.0,619435,1938049,3245446,7360092,9509018,9133449,121669.0,500388.0,668376,650238,632523,1423031,1489969,1514796,1595657,1318279,892879,532062,109822,1531.0
Belize,2018,382076,7896.0,38809,114409,191488,250266,267664,244045,7797.0,30913.0,37076,38524,39356,72837,56930,42337,29232,16362,7363,2873,374,3.0
Benin,2018,11940688,431239.0,2001020,5128753,7454837,6443463,6811901,6045552,414344.0,1569781.0,1672940,1454793,1240739,2001651,1415679,949249,630092,351783,174959,44352,3397,34.0
Bermuda,2018,63591,544.0,2981,9478,15770,42804,54103,52163,596.0,2437.0,3254,3243,3248,6176,8536,9640,10542,8366,4847,2318,430,10.0
Bhutan,2018,762104,10650.0,57171,191178,340375,525959,570916,527286,11159.0,46521.0,64725,69282,72542,159726,131165,83324,57324,37934,20113,7808,980,10.0
Bolivia,2018,11606906,256139.0,1269306,3719626,5964468,7312942,7887223,7192583,254486.0,1013167.0,1246729,1203591,1151001,2120275,1663930,1219154,857187,526245,270826,72809,5796,57.0
Bonaire Sint Eustatius and Saba,2018,24995,284.0,1415,4334,7012,17608,20661,19890,283.0,1131.0,1477,1442,1249,3267,3802,3629,4168,2666,1365,464,51,0.0
Bosnia and Herzegovina,2018,3400132,31397.0,161336,508609,911178,2324767,2891231,2783368,32069.0,129939.0,174380,172893,186137,436410,485609,468866,508568,441430,234271,116570,13370,292.0
